"Probe Set ID","Species Scientific Name","Transcript ID(Array Design)","Representative Public ID","Gene Symbol"
"1775957_at","Saccharomyces cerevisiae","YLR412W","YLR412W.S1","---"
"1775958_at","Saccharomyces cerevisiae","YGL043W","YGL043W.S1","DST1"
"1775959_at","Saccharomyces cerevisiae","YGR169C-A","YGR169C-A.S1","---"
"1775960_at","Saccharomyces cerevisiae","YBR039W","YBR039W.S1","ATP3"
"1775961_at","Schizosaccharomyces pombe","SPAC1635.01","SPAC1635.01.S1","---"
"1775962_at","Saccharomyces cerevisiae","YPL146C","YPL146C.S1","NOP53"
"1775963_at","Schizosaccharomyces pombe","SPAC26H5.09c","SPAC26H5.09c.S1","---"
"1775964_x_at","Schizosaccharomyces pombe","SPBC19G7.03c","SPBC19G7.03c.S1","---"
"1775965_at","Saccharomyces cerevisiae","YDR232W","YDR232W.S1","HEM1"
"1775966_at","Saccharomyces cerevisiae","YNL010W","YNL010W.S1","---"
"1775967_at","Schizosaccharomyces pombe","SPBCPT2R1.08c","SPBCPT2R1.08c.S1","---"
"1775968_at","Saccharomyces cerevisiae","YNL064C","YNL064C.S1","YDJ1"
"1775969_at","Saccharomyces cerevisiae","YML013W","YML013W.S1","UBX2"
"1775970_at","Saccharomyces cerevisiae","YMR013W-A","YMR013W-A.S1","---"
"1775971_at","Saccharomyces cerevisiae","YLR088W","YLR088W.S1","GAA1"
"1775972_at","Schizosaccharomyces pombe","SPBC18H10.02","SPBC18H10.02.S1","---"
"1775973_at","Saccharomyces cerevisiae","YCR032W","YCR032W.S1","BPH1"
"1775974_at","Saccharomyces cerevisiae","YGL202W","YGL202W.S1","ARO8"
"1775975_at","Saccharomyces cerevisiae","YPL224C","YPL224C.S1","MMT2"
"1775976_at","Saccharomyces cerevisiae","YFR053C","YFR053C.S1","HXK1"
"1775977_at","Schizosaccharomyces pombe","SPBC215.08c","SPBC215.08c.S1","---"
"1775978_at","Saccharomyces cerevisiae","YNL048W","YNL048W.S1","ALG11"
"1775979_at","Schizosaccharomyces pombe","SPCC126.03","SPCC126.03.S1","---"
"1775980_at","Schizosaccharomyces pombe","SPBP22H7.06","SPBP22H7.06.S1","---"
"1775981_at","Saccharomyces cerevisiae","YMR315W-A","YMR315W-A.S1","---"
